,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
2015-11-30,0.2650892062329926,0.47478912177154986,2.0607726851268287,1.0283463990560018,0.2618534102863339,0.3111274448622525,0.31189088109582913,0.2852521683553899,0.4791212354162952,0.15647793019497325,0.3132969872701317,0.287311704408794,0.3918218362505732,0.5414539063523061,0.1231970918845517,0.7826899204772687,0.9370933927461613,0.7117102323836157,0.1907717140310925,1.234037277280599,0.5685492057914586,0.3637737538258756,0.6381201374155232,0.21659148629360475,-0.4386357029645159,0.4655675888163271,1.172402365682355,0.8214394708537986,0.29572271300155606,0.10165108244972727,0.09430838590119207
2015-12-31,0.13417939519444827,0.580165536851039,2.074449081468898,1.4988743393755188,0.48623068018751636,0.305363566307701,0.25081268299146886,0.29992660784440056,0.8787498379005091,0.37783538630670005,0.3059643461582947,-0.021261284207526265,0.43220969707053725,0.28161503801291654,0.18569329664595602,0.6541781852245311,0.8104105650022307,0.14302305046911418,0.21179949251738256,0.8790297961852144,0.40698245899355545,0.0038068936063873765,1.312333435209719,0.011330350915414539,-0.008551825069019567,0.6120715842727806,0.7572809030585548,0.8166575326387939,0.20653918933977483,-0.16133530605308988,0.4029498845970672
2016-01-31,-0.2481665999176413,-0.028441383557277072,1.4355072853422772,0.6337872917943151,-0.007910131448517585,-0.021004658767937667,0.048281566542243415,-0.1626742352110516,0.31129980069516444,0.029676821404564097,0.03704781729891718,-0.20576022382786557,0.051187326277273404,-0.13225339897091898,-0.24674647488909945,-0.12199125250617393,0.358546423037385,-0.16863717713427942,-0.2003177592927068,0.37490105762861947,-0.3576996350859476,-0.24588086218761518,0.23081074629328976,-0.07073491384209592,0.24182774921279065,0.20058650633662897,-0.0005163853675406727,0.5975064134145698,0.16206621724188966,-0.358132281964855,0.03768221652760387
2016-02-29,-0.1610804093767751,0.5335395901606093,1.1367708335436313,0.8496447276087833,-0.007817372559875323,0.10579367362359318,0.02316297693238839,0.11561472366026368,0.24395874109490517,-0.09640591163393814,-0.1406212637419974,-0.1712254640213834,0.008092685569708546,0.06618700298398668,-0.21304121116682087,0.11517270015949405,0.39012066644533644,0.09256805197454246,-0.2646182243834133,0.5032464726305877,-0.27997442428838043,-0.17102104753036396,0.19024760557096787,0.039779275653954706,1.4757170516183247,0.08922535451643356,0.6272380428939047,0.7399533135107861,0.24277503065907102,-0.40772307921671946,-0.20907335628372345
2016-03-31,-0.35173293363643693,-0.059531523956630195,0.837935235217822,0.6689370502898001,0.04708484848026308,-0.057196936277744054,-0.1360940067201305,0.023176492213995974,-0.0942483194234518,-0.220556350182536,-0.1847436142202788,-0.17738144421828853,-0.14242859484679943,0.03277152614561424,-0.519413352915944,0.26560228794532525,0.3021569088024948,-0.3119417345963119,-0.2899191007769957,0.4005240197741915,-0.2985054216300287,-0.1605102531589655,-0.12166430958793517,-0.17230121685308877,0.11313428771236167,0.07955659522769627,0.047008386782114386,0.17151656218793987,0.21493489884292694,-0.3836012500473646,-0.14316888270453856
2016-04-30,-0.3711723288079646,-0.016349785697435407,1.2013703150086426,0.325211653352058,0.2128391765197985,-0.002339009076671811,-0.20194491230478212,-0.09799626254107972,-0.2763283022713452,-0.35146417223253196,-0.2770942508541459,-0.29231622561399767,-0.28549922577867143,-0.06855666781616959,-0.3716546627419397,-0.20208106249895247,0.07336971189452085,-0.42164094708543226,-0.37015016033782044,0.03901433526436332,-0.3134025630491429,-0.29535964634130296,-0.10419319453232681,-0.2745418496185155,-0.07465247452507334,0.05533654052431149,-0.14233333756336458,-0.0028754478527751592,-0.08293146044834082,-0.5212215417153313,-0.055567037300922384
2016-05-31,-0.6231917601719594,-0.315294986318741,0.8618108838825258,0.22291984570940843,0.0534694316142664,-0.17835964129148202,-0.29545556410922585,-0.24574305557053008,-0.453395523304735,-0.45818189264176323,-0.4508086575033758,-0.32146366811673266,-0.4546952888433391,-0.26407779786390906,-0.5461306621033369,-0.134571782914025,-0.09959318253695523,-0.5389552080882282,-0.5523344269610366,-0.28570001674670426,-0.5160278176854048,-0.6028662370666245,-0.5382205402540499,-0.2459526002748455,-0.4157152987309334,-0.13996147457535835,-0.49004099155764547,-0.07688479068330265,-0.04732448009139874,-0.638922886033339,-0.3122609126561986
2016-06-30,-0.33381489590647806,-0.23832980687835084,2.3044317803271097,0.707175795429358,0.2925884392170132,0.05554101487234306,-0.06517410082988188,-0.1805566957220894,-0.23013360513650388,-0.25943946306655336,-0.4119481474377816,-0.2759194838310589,-0.26951565058246674,0.00630384622175717,-0.3668311465532148,0.017569749200022147,0.037809727621635605,-0.3404057124281211,-0.3794637710337028,0.024872576759602902,-0.5552579059438603,-0.5699309117170256,-0.20006325816078616,-0.18637533983085697,-0.31382594013773085,0.12058874041535424,-0.1990324931516712,0.20793475110539672,0.02326392637032504,-0.5531735614418276,-0.3141266633535306
2016-07-31,-0.35960656450056117,-0.15531579890501673,2.2972401617615885,0.6762822384308056,-0.015480469569122274,0.00828243791043181,0.01440571831718239,-0.2450790288537133,-0.250548492338566,-0.1977040035317611,-0.5098043532609222,-0.3087478890583762,-0.1565093556007158,-0.03253111495708358,-0.3253147138414262,0.12594925691395267,0.20899996330125242,-0.3368142257747654,-0.282802645228435,0.004781771382263725,-0.38076111877342234,-0.5062544836179804,-0.2887788684810349,-0.082553439906671,-0.04565245847078325,-0.10045229959217075,-0.13655845938727768,0.5153445681112112,0.15215472194644286,-0.419575717308454,-0.358816851227799
2016-08-31,-0.23137848377321707,-0.04462820716184665,1.9359536462797002,0.9260903550590329,0.007547332319291708,0.18056634481146588,0.09997512850711562,-0.09800888084726994,-0.10031580199053583,-0.07883413549971907,-0.42960320760794624,-0.15314252717635965,0.03697491378875681,0.22817148708511342,-0.08399361800296985,0.3273238809152145,0.339256486202251,-0.17000082564814306,-0.07083984136038912,0.16662792093647244,-0.26391213701638117,-0.2314283907348319,-0.17319959581168015,0.030814421227386507,0.008206715133772927,0.09399404697799432,0.09574959390223377,0.8549579374809756,0.311218018200487,-0.15943756562518113,-0.35771218379814834
