ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000016.SH,2005-01-04,827.071,836.988,836.988,824.008,842.728,-15.657,-1.8579,4031697.0,2136408.535
000016.SH,2005-01-05,831.428,825.707,836.428,822.966,827.071,4.357,0.5268,3020863.0,1705649.112
000016.SH,2005-01-06,822.499,831.989,833.07,820.335,831.428,-8.929,-1.0739,2753574.0,1519686.788
000016.SH,2005-01-07,823.616,822.669,832.95,819.44,822.499,1.117,0.1358,3066086.0,1640665.371
000016.SH,2005-01-10,832.986,823.766,833.65,820.996,823.616,9.37,1.1377,2479411.0,1402314.275
000016.SH,2005-01-11,837.861,833.209,839.686,831.383,832.986,4.875,0.5852,2450098.0,1384285.975
000016.SH,2005-01-12,837.244,837.357,837.805,831.183,837.861,-0.617,-0.0736,1632751.0,913345.079
000016.SH,2005-01-13,834.221,836.17,838.192,833.099,837.244,-3.023,-0.3611,2096694.0,1050540.719
000016.SH,2005-01-14,829.042,834.354,845.548,828.046,834.221,-5.179,-0.6208,3627087.0,1655199.286
000016.SH,2005-01-17,811.554,821.189,825.541,810.002,829.042,-17.488,-2.1094,3252217.0,1694630.703
000016.SH,2005-01-18,817.309,811.316,817.688,805.374,811.554,5.755,0.7091,3719265.0,1756768.049
000016.SH,2005-01-19,810.989,816.644,817.165,809.493,817.309,-6.32,-0.7733,3297547.0,1465256.09
000016.SH,2005-01-20,805.081,807.395,810.87,801.072,810.989,-5.908,-0.7285,3649395.0,1794369.342
000016.SH,2005-01-21,831.847,803.091,835.236,798.354,805.081,26.766,3.3246,7407806.0,3793339.735
000016.SH,2005-01-24,842.414,847.07,851.244,831.084,831.847,10.567,1.2703,6486124.0,3443129.365
000016.SH,2005-01-25,841.64,839.715,842.192,832.092,842.414,-0.774,-0.0919,4119281.0,2248890.591
000016.SH,2005-01-26,834.669,840.821,844.071,833.642,841.64,-6.971,-0.8283,3018077.0,1677342.219
000016.SH,2005-01-27,821.705,831.832,833.752,820.933,834.669,-12.964,-1.5532,3029540.0,1531173.879
000016.SH,2005-01-28,820.689,819.656,822.822,816.539,821.705,-1.016,-0.1236,2339918.0,1189618.54
000016.SH,2005-01-31,813.753,817.93,819.347,810.722,820.689,-6.936,-0.8451,2588408.0,1331737.139
000016.SH,2005-02-01,817.872,812.563,824.11,812.152,813.753,4.119,0.5062,2732303.0,1465250.787
000016.SH,2005-02-02,860.504,819.245,860.879,819.245,817.872,42.632,5.2126,7774033.0,4262551.034
000016.SH,2005-02-03,848.486,856.77,867.199,846.407,860.504,-12.018,-1.3966,7120290.0,3920720.189
000016.SH,2005-02-04,872.884,847.617,877.391,845.446,848.486,24.398,2.8755,7331555.0,4193941.398
000016.SH,2005-02-16,875.46,877.97,884.986,871.375,872.884,2.576,0.2951,5056844.0,2827036.33
000016.SH,2005-02-17,870.085,876.636,876.636,861.447,875.46,-5.375,-0.614,3634848.0,2082719.031
000016.SH,2005-02-18,856.212,869.398,870.529,855.416,870.085,-13.873,-1.5944,3521323.0,1919298.22
000016.SH,2005-02-21,874.021,856.954,874.096,856.954,856.212,17.809,2.08,4329100.0,2395829.415
000016.SH,2005-02-22,887.07,874.946,889.982,870.586,874.021,13.049,1.493,6674490.0,3748027.747
000016.SH,2005-02-23,877.914,886.668,886.668,872.561,887.07,-9.156,-1.0322,7459593.0,4155038.972
000016.SH,2005-02-24,877.345,875.726,878.14,870.04,877.914,-0.569,-0.0648,5475889.0,3099816.301
000016.SH,2005-02-25,878.503,878.216,888.791,877.098,877.345,1.158,0.132,6543358.0,3923305.702
000016.SH,2005-02-28,868.886,878.553,878.657,864.65,878.503,-9.617,-1.0947,4847487.0,2822666.898
000016.SH,2005-03-01,866.258,868.367,871.421,863.492,868.886,-2.628,-0.3025,3179948.0,1886264.154
000016.SH,2005-03-02,855.879,866.078,875.069,855.283,866.258,-10.379,-1.1981,5951922.0,3591714.424
000016.SH,2005-03-03,861.688,854.789,863.1,851.434,855.879,5.809,0.6787,3339214.0,1823063.553
000016.SH,2005-03-04,859.489,862.112,866.58,858.132,861.688,-2.199,-0.2552,2983023.0,1788447.913
000016.SH,2005-03-07,863.704,859.659,865.529,859.517,859.489,4.215,0.4904,2797013.0,1693090.958
000016.SH,2005-03-08,876.344,867.834,876.878,863.596,863.704,12.64,1.4635,5257464.0,3158969.746
000016.SH,2005-03-09,869.403,878.358,880.494,867.065,876.344,-6.941,-0.792,6973993.0,3872790.925
000016.SH,2005-03-10,851.531,869.024,869.099,850.038,869.403,-17.872,-2.0557,5591643.0,2948232.889
000016.SH,2005-03-11,853.898,850.907,857.271,847.811,851.531,2.367,0.278,4661695.0,2669410.222
000016.SH,2005-03-14,857.614,853.355,865.822,844.176,853.898,3.716,0.4352,5537534.0,3548545.136
000016.SH,2005-03-15,840.955,857.337,857.625,839.446,857.614,-16.659,-1.9425,4667624.0,2752373.557
000016.SH,2005-03-16,832.823,839.601,840.592,829.399,840.955,-8.132,-0.967,3904396.0,2322844.904
000016.SH,2005-03-17,826.683,833.711,835.686,826.157,832.823,-6.14,-0.7373,3483096.0,2038527.363
000016.SH,2005-03-18,821.028,826.057,830.198,818.8,826.683,-5.655,-0.6841,3402967.0,1958062.392
000016.SH,2005-03-21,823.129,820.421,825.855,818.27,821.028,2.101,0.2559,2710832.0,1452285.477
000016.SH,2005-03-22,808.104,822.609,823.225,805.505,823.129,-15.025,-1.8254,4212965.0,2181712.034
000016.SH,2005-03-23,801.981,806.404,812.283,798.005,808.104,-6.123,-0.7577,4033777.0,2284393.0
000016.SH,2005-03-24,808.18,800.805,808.873,795.84,801.981,6.199,0.773,3680114.0,2103397.032
000016.SH,2005-03-25,806.425,807.654,810.452,802.61,808.18,-1.755,-0.2172,2741211.0,1407812.741
000016.SH,2005-03-28,805.556,805.41,805.905,795.463,806.425,-0.869,-0.1078,2199636.0,1257124.87
000016.SH,2005-03-29,802.739,805.477,812.33,802.13,805.556,-2.817,-0.3497,2791488.0,1578168.399
000016.SH,2005-03-30,790.58,800.961,800.961,790.192,802.739,-12.159,-1.5147,3389530.0,1859165.192
000016.SH,2005-03-31,795.667,788.006,795.792,783.982,790.58,5.087,0.6435,3299892.0,1708517.954
000016.SH,2005-04-01,822.91,794.95,834.557,791.097,795.667,27.243,3.4239,7201383.0,3846584.065
000016.SH,2005-04-04,808.591,814.585,818.799,805.846,822.91,-14.319,-1.74,4581910.0,2565520.008
000016.SH,2005-04-05,801.885,806.509,813.883,800.089,808.591,-6.706,-0.8293,4022176.0,2280359.972
000016.SH,2005-04-06,816.879,800.891,820.859,796.365,801.885,14.994,1.8698,5417600.0,3158757.925
000016.SH,2005-04-07,824.609,819.034,840.371,815.216,816.879,7.73,0.9463,8194266.0,4802386.564
000016.SH,2005-04-08,838.056,824.321,838.508,818.902,824.609,13.447,1.6307,4854740.0,2901295.463
000016.SH,2005-04-11,830.908,838.29,841.643,827.799,838.056,-7.148,-0.8529,5495105.0,3185414.623
000016.SH,2005-04-12,818.467,828.413,830.278,817.889,830.908,-12.441,-1.4973,3213688.0,1780077.799
000016.SH,2005-04-13,835.628,826.907,842.477,826.907,818.467,17.161,2.0967,5734974.0,3142352.562
000016.SH,2005-04-14,826.005,840.241,841.171,825.38,835.628,-9.623,-1.1516,4631111.0,2517325.21
000016.SH,2005-04-15,817.094,822.127,822.127,814.976,826.005,-8.911,-1.0788,3656982.0,2112808.199
000016.SH,2005-04-18,806.389,814.551,815.472,803.234,817.094,-10.705,-1.3101,3618395.0,2095877.353
