,美容护理,环保,石油石化,煤炭,机械设备,传媒,建筑装饰,建筑材料,综合,社会服务,商贸零售,房地产,交通运输,公用事业,医药生物,轻工制造,纺织服饰,食品饮料,家用电器,电子,有色金属,钢铁,基础化工,农林牧渔
2001-01-31,-0.8806306306306306,2.256366723259762,0.20307048150732718,-0.268332650553052,-0.06378299120234594,0.1973278520041111,-0.1902925104468016,0.7310789049919484,-2.5968712394705173,-0.08651597817614964,0.13834422657952056,0.1325301204819277,-0.2539981185324554,0.07645369705671208,0.23518742442563495,-0.05588120359515438,0.11761736496718837,-0.09693145970748493,-0.7138842046093311,0.21321552055320805,0.27157464212678945,0.08530405405405403,-0.1757977122215533,-0.3957856161245992
2001-02-28,-0.8806306306306306,2.256366723259762,0.20307048150732718,-0.26959767731231854,-0.0753880266075389,0.2951639799888828,-0.1902925104468016,0.7394822006472491,-2.6584158415841586,-0.08651597817614964,0.16722972972972974,0.13212435233160616,-0.2770460959548448,0.12476370510396965,0.26967741935483874,-0.05588120359515438,0.11306143520908622,-0.11499856610266712,-0.7063560540696002,0.24349514563106786,0.2652977412731006,0.09350982066609737,-0.16727716727716732,-0.39990838295923037
2001-03-31,-0.9448198198198198,2.3767605633802815,0.20307048150732718,-0.26959767731231854,-0.06283118849356549,0.26681489716509166,-0.19575699132111865,0.7414512093411176,-2.6423267326732676,-0.06629392971246008,0.1671388101983003,0.12445604873803313,-0.2760244936410739,0.14915797914995993,0.24967490247074134,-0.05588120359515438,0.11147186147186151,-0.12244309997118996,-0.7126833477135462,0.20023743569449956,0.30274841437632133,0.05764304013663541,-0.1689356435643564,-0.3794103431609474
2001-04-30,-0.9448198198198198,3.0378947368421048,0.20126671358198442,-0.22559366754617408,-0.0705521472392637,0.26681489716509166,-0.19575699132111865,0.7557643040136637,-2.640644361833953,0.028782894736842018,0.17619872905834777,0.10875331564986741,-0.26356589147286824,0.1436020858403531,0.26298701298701305,-0.05279999999999996,0.12698412698412703,-0.13310285220397586,-0.7134751773049645,0.25843153189760243,0.3291870279875612,0.07047124945957622,-0.1686595342983009,-0.35829145728643214
2001-05-31,-0.9267563527653213,0.510655737704918,-0.013188073394495393,-0.21343692870201095,0.028960817717206135,0.06744730679156907,-0.3280472636815921,0.31345261762756776,9.401574803149606,0.06956521739130428,0.0887316276537834,0.049125728559533746,-0.28132501200192034,-0.05572238905572255,-0.05442522889114948,-0.0890464933018126,0.004875406283857053,-0.12023633677991141,-0.6531174646916982,0.08351101634683732,-0.10371046228710452,-0.03666146645865842,-0.18495297805642633,-0.46889352818371605
2001-06-30,-0.9267563527653213,0.510655737704918,0.011757789535567324,-0.2504570383912248,0.025641025641025543,0.06744730679156907,-0.25508445363667714,0.341001353179973,9.15748031496063,0.07611548556430446,0.1395881006864987,0.05522514868309266,-0.23581011351909179,-0.04402302742973251,-0.10821847881572229,-0.09537000395726151,0.07142857142857147,-0.09668592277287943,-0.6688289518607033,0.05129112133003188,-0.061165976425613236,-0.022556390977443542,-0.1710610932475885,-0.504384133611691
2001-07-31,0.8923766816143496,0.7826446280991737,-0.09721398933017189,-0.12821833161688984,0.12878133102852202,0.25433255269320837,-0.11963406052076013,0.554109589041096,9.269841269841269,0.32370953630796145,0.19908466819221965,0.19591141396933553,-0.12074303405572757,-0.03618982587913963,0.07597535934291585,-0.07123070834982188,0.44541739638061867,-0.015782828282828294,-0.7746671218846022,0.15175097276264587,-0.03444913877153071,0.06687772061733291,-0.24564796905222427,-0.5512021371326803
2001-08-31,0.8923766816143496,0.7915282392026579,-0.8595139300533491,-0.12821833161688984,0.12412587412587404,0.25433255269320837,-0.11339475549255856,0.6116363636363634,9.192,0.37420526793823783,0.23303834808259574,0.20360824742268038,-0.0988894764674775,-0.03156089193825038,0.115743280307186,0.003911342894393793,0.4951690821256038,-0.018333869411386244,-0.776421346355075,0.1669144981412639,-0.001344537815126089,0.05066344993968626,-0.711764705882353,-0.5305076851420587
2001-09-30,0.8923766816143496,0.8707718993928881,-0.8579136690647482,-0.17095777548918642,0.122466960352423,0.25433255269320837,-0.11339475549255856,0.5762217359591538,9.063492063492063,0.37420526793823783,0.24121500893388928,0.17626827171109205,-0.09120000000000002,0.04540379605507997,0.09698630136986298,-0.018826619964973722,0.4773561811505509,-0.02055021544580722,-0.7794218857536133,0.12273057371096587,0.0051564111378480625,0.06305939788445886,-0.7107166337935569,-0.5287517531556802
2001-10-31,0.8923766816143496,0.9156305506216695,-0.8569696969696969,-0.17095777548918642,0.12880143112701262,0.29122468659594974,-0.09642470205850488,0.6046165301563663,9.48360655737705,0.37420526793823783,0.25466586393738716,0.18236819360414874,-0.09120000000000002,0.051724137931034614,0.11423841059602646,0.06816015252621548,0.49104385423100694,-0.02328675981370576,-0.7780850328378847,0.1616942909760589,0.009059233449477516,0.06305939788445886,-0.7095709570957096,-0.5343618513323983
2001-11-30,0.8923766816143496,0.9156305506216695,-0.8569696969696969,-0.16795865633074936,0.1623616236162362,0.29122468659594974,-0.10725893824485366,0.6435114503816792,9.655462184873949,0.37420526793823783,0.25533211456429,0.1763180639585134,-0.06219042377545407,0.0918287937743191,0.13535122786978868,0.07071189679885322,0.5396927016645325,-0.024950099800399042,-0.7712842712842712,0.17210007581501138,0.009059233449477516,0.6038083538083538,-0.7083056478405316,-0.5184824902723735
